,start,end,WSAID,Catch_ID,nationalco,name_municipality,Vandforsyn,Area (m3),Job_distribution_Industries,Job_distribution_Services,Job_distribution_Agriculture,WSA_Area (m3),Municipality_Area (m3),Wateruse agriculture (1000m3),Wateruse services (1000m3),Wateruse industries (1000m3),Population #,Wateruse households (1000m3)
0,1994,2019,1039,30.0,269.0,Solrød,Andre Syd,40448404.0,4899.66666666667,2684.33333333333,85.0,7624041,25919515,0.0,30.882663786619812,50.173462854091795,18444.0,661.95516
1,1978,2019,1042,30.0,269.0,Solrød,Andre Syd,40448404.0,4899.66666666667,2684.33333333333,85.0,691173,25919515,0.0,2.7997309271276714,4.5485776953784995,181.0,6.49609
2,1978,2019,1043,23.0,269.0,Solrød,Andre Syd,40448404.0,4899.66666666667,2684.33333333333,85.0,991139,25919515,0.0,4.014801665259483,6.522640132672645,533.0,19.129369999999998
3,2009,2019,1044,30.0,269.0,Solrød,Andre Syd,40448404.0,4899.66666666667,2684.33333333333,85.0,3950082,25919515,0.0,16.00057690345301,25.995307802990126,4528.0,162.50992
4,1995,2019,1062,3.0,217.0,Helsingør,Andre Nord,121679790.0,17415.0,9778.0,144.0,114098194,345657727,0.0,126.24159998402094,200.1267616328253,58171.0,2087.75719
5,1978,2019,1063,3.0,217.0,Helsingør,Andre Nord,121679790.0,17415.0,9778.0,144.0,539081,345657727,0.0,0.5964550846526632,0.9455411256359157,348.0,12.48972
6,1978,2019,1064,28.0,217.0,Helsingør,Andre Nord,121679790.0,17415.0,9778.0,144.0,2288269,345657727,0.0,2.5318081700209523,4.01359433186807,0.0,0.0
7,1978,2019,1065,28.0,217.0,Helsingør,Andre Nord,121679790.0,17415.0,9778.0,144.0,5038647,345657727,0.0,5.574907338451712,8.83772189348545,3761.0,134.98228999999998
8,2017,2019,2020,20.0,259.0,Køge,Andre Syd,258550096.0,22900.3333333333,12493.6666666667,442.0,33999076,512199617,0.0,32.4367800800842,52.919880810518094,5257.0,188.67373
9,1978,2019,2021,23.0,259.0,Køge,Andre Syd,258550096.0,22900.3333333333,12493.6666666667,442.0,1410309,512199617,0.0,1.3455037095115017,2.1951591915615873,84.0,3.01476
10,1978,2019,2022,23.0,259.0,Køge,Andre Syd,258550096.0,22900.3333333333,12493.6666666667,442.0,15014526,512199617,0.0,14.324591582097888,23.370250601705322,2139.0,76.76871
11,1978,2019,2023,31.0,259.0,Køge,Andre Syd,258550096.0,22900.3333333333,12493.6666666667,442.0,8018792,512199617,0.0,7.650319456091647,12.481324989077233,0.0,0.0
12,1978,2019,2024,31.0,259.0,Køge,Andre Syd,258550096.0,22900.3333333333,12493.6666666667,442.0,3717485,512199617,0.0,3.5466623680011713,5.786300284010331,139.0,4.98871
