,Year,WTP Industry (DKK/m3),WTP Services (DKK/m3),WTP Agriculture (DKK/m3),WTP Households (DKK/m3)
0,1989,1095.0090911936234,1974.8568955186897,13.798495597307937,89.73
1,1990,1117.4302522966846,1388.798683382989,13.798495597307937,89.73
2,1991,1219.201646101266,1505.7265326693446,13.798495597307937,89.73
3,1992,1259.1110599758133,1482.4683323657039,13.798495597307937,89.73
4,1993,1393.9842416040472,1654.119518589664,13.798495597307937,89.73
5,1994,1561.1913279592932,1725.3713829876724,13.798495597307937,89.73
6,1995,1572.6875069133907,1578.5758016954087,13.798495597307937,89.73
7,1996,1840.6743188154348,1705.084480829324,13.798495597307937,89.73
8,1997,2427.481627656578,2039.087338206459,13.798495597307937,89.73
9,1998,2812.949246891964,2155.3966219617714,13.798495597307937,89.73
10,1999,3495.8973985212297,2362.0210549680673,13.798495597307937,89.73
11,2000,5122.275095457925,2879.090974090177,13.798495597307937,89.73
12,2001,6032.9184827911695,3088.910002745525,13.798495597307937,89.73
13,2002,6943.00679297796,3033.8419640070806,13.798495597307937,89.73
14,2003,6138.56663741837,2610.9285928304525,24.66122318623047,89.73
15,2004,6272.148086741736,2466.6772691093242,22.491256760359235,89.73
16,2005,7113.14933081843,2550.5645655202884,20.2123770198445,89.73
17,2006,7946.445631603509,2634.8512096651707,15.595050964385166,89.73
18,2007,7647.634088484484,2475.2202432710083,28.827514423622027,89.73
19,2008,8033.479347485889,2365.0282827535166,9.08213337678534,89.73
20,2009,7650.304531860115,2616.649126250581,10.52508034428362,89.73
21,2010,4214.907207294321,2630.2714048014523,16.925711727781085,89.73
22,2011,2873.041692396738,2558.8143164929324,16.296527766527337,89.73
23,2012,2395.117947642919,2761.0576408433585,26.794108024561012,89.73
24,2013,3060.746437577836,2740.527553666575,10.505466425761457,89.73
25,2014,4487.095895411085,2830.6171268222956,8.737763382868069,89.73
26,2015,10417.063882221577,3554.078709635695,5.228147484423737,89.73
27,2016,10163.067505854417,3653.7156730557635,6.541454628433208,89.73
28,2017,11418.387499467222,3695.6147526920013,8.667881734088583,89.73
29,2018,8266.159381398244,3458.631011057659,5.044063369163309,89.73
30,2019,8136.736448950705,3827.03526747748,11.344639109770258,89.73
31,2020,8009.358731992059,3578.0690930867154,8.94650847328118,89.73
32,2021,7621.363443344312,3688.7837178581153,5.74450814668126,89.73
33,2022,7621.363443344312,3688.7837178581153,5.74450814668126,89.73
