,WSAID,WWID,start,end,Storage capacity (1000m3),Storage initial (1000m3)
0,2700,610,1978,2019,0.0,0
1,3360,28315,1978,2012,0.0,0
2,4679,28315,2013,2019,0.0,0
3,3560,28315,1978,2019,0.0,0
4,3565,28315,1978,2019,0.0,0
5,3566,28315,1978,2019,0.0,0
6,3567,28315,1978,2019,0.0,0
7,4689,28315,1978,2019,0.0,0
8,4681,28315,1978,2019,0.0,0
9,3560,3957,1978,2019,0.0,0
10,3565,3957,1978,2019,0.0,0
11,3566,3957,1978,2019,0.0,0
12,3362,3957,1978,2019,0.0,0
13,4687,3957,1978,2019,0.0,0
14,4688,3957,1978,2019,0.0,0
15,4689,3957,1978,2019,0.0,0
16,2860,2547,1995,2019,0.0,0
17,4086,2547,1978,1994,0.0,0
25,2856,3200,1978,2019,0.0,0
33,2857,4383,1978,2019,0.0,0
41,3569,4522,1978,2019,0.0,0
42,2869,5780,2010,2019,0.0,0
43,4139,5780,1978,2009,0.0,0
44,3569,26790,1978,2019,0.0,0
45,4682,26790,1978,2019,0.0,0
46,3560,26790,1978,2019,0.0,0
47,3561,26790,1978,2019,0.0,0
48,3567,26790,1978,2019,0.0,0
49,4688,26790,1978,2019,0.0,0
50,4684,26790,1978,2019,0.0,0
51,4686,26790,1978,2019,0.0,0
52,2686,6485,1978,2019,0.0,0
68,2020,7483,2017,2019,0.0,0
69,4244,7483,2008,2016,0.0,0
70,4247,7483,1978,2007,0.0,0
71,2027,25132,1978,2019,0.0,0
72,3333,25132,1978,2019,0.0,0
73,4680,25132,2009,2019,0.0,0
74,3363,25132,1978,2019,0.0,0
75,3562,25132,1978,2019,0.0,0
76,3563,25132,1978,2019,0.0,0
77,4685,25132,1978,2019,0.0,0
78,3365,25132,1978,2019,0.0,0
86,2861,11956,2007,2019,0.0,0
87,4085,11956,1978,2006,0.0,0
88,3560,2065,1978,2019,0.0,0
89,3564,2065,1978,2019,0.0,0
90,3565,2065,1978,2019,0.0,0
91,3559,2065,1978,2019,0.0,0
92,2026,12475,1978,2019,0.0,0
101,3359,12527,1978,2016,0.0,0
102,4676,12527,2017,2019,0.0,0
107,2032,13064,1978,2019,0.0,0
116,3354,14001,1978,2019,0.0,0
121,2688,14261,1978,2019,0.0,0
130,2026,14759,1978,2019,0.0,0
146,2030,17004,1978,2019,0.0,0
155,2020,17170,2017,2019,0.0,0
156,4244,17170,2008,2016,0.0,0
157,4246,17170,2004,2007,0.0,0
158,4248,17170,1978,2003,0.0,0
