,Catchment,K,error_cal,error_val
0,1,6.578125,1.1703990981714916,1.269913418449505
1,2,1954.0601806640625,1.2131410134344585,1.1010218482451932
2,3,12.01165771484375,1.7357904950565095,1.7500046624539005
3,4,6.32012939453125,1.2103175535070063,1.3069805283715656
4,5,12.20501708984375,1.2198442975885464,1.496290015884801
5,6,6.2923583984375,1.4853905231343583,1.564738928017192
6,7,7.50640869140625,1.786299837081308,1.7675604536139278
7,8,10.5640869140625,1.5029725367610856,1.3525818827354756
8,9,10.47637939453125,1.4555450446243343,1.2824416709373687
9,10,12.59588623046875,1.393916782055152,1.1806284085261909
10,11,17.271484375,1.9954395632299124,1.8941221431152573
11,12,8.27484130859375,1.3741297684304876,1.4370548779729035
12,13,7.31732177734375,1.286225173037665,1.427138922454814
13,14,12.28765869140625,1.7133925656688394,1.6880677524064773
14,15,8.474365234375,1.365671715349605,1.2164048214414551
15,16,7.2288818359375,0.9914223811163572,0.9823660679011957
16,17,8.41748046875,0.8156952419784663,0.8231706548730146
17,18,7.1375732421875,0.7961014420273602,0.7867616255142166
18,19,6.63604736328125,0.8564527001652756,0.8509959085415914
19,20,5.3741455078125,1.5672206749589837,1.3130027171684635
20,21,4.7637939453125,1.5199554472783166,1.2438894391266868
21,22,11.6466064453125,1.1767208352455039,1.050835895762133
22,23,7.4971923828125,1.3714016460861778,1.1603257116550938
23,24,9.7684326171875,1.9692264576627323,1.7853775485111563
24,25,5.92938232421875,1.4632506075068363,1.3060532865758694
25,26,7.17169189453125,1.5737695474090874,1.4284671612201196
26,27,14.12335205078125,1.4074753659048471,1.534429906104227
27,28,16.4537353515625,1.9940876806884005,2.059664993950061
28,29,11.14947509765625,0.9662766147185948,0.8518890971658966
29,30,9.84130859375,1.007105423987996,0.8289674675388723
30,31,8.52606201171875,1.1878384632819963,0.9204005638605921
31,32,8.45587158203125,1.457207525711636,1.304962012604165
