SZ_DETAIL water balance	  - accumulated	 : 	 1989  1  2  6  0	 2022  7 11  6  0 		Data type:	Storage depth		[millimeter]                                                                                
 SM CI OL RIV SZ                                                                		Sub-catchment no.:	  1
Flow Result File : DK1_HIP_500m
Title : DK1_HIP_500m     Text :  
                     	qszprecip	qrech	qrechmp	qolszpos	qolszneg	qetsz	qszin	qszout	dszsto	qszabsex	qszdrin	qszdrout	qszdrtorivin	qszdrtorivex	qszdrtoM11HPoint	qszrivneg	qszrivpos	qszfloodneg	qszfloodpos	qgihbpos	qgihbneg	qirrwell	qszdrtoMouse	qszMousepos	qszMouseneg	qSzExtSink	qSzExtSource	cross time step	Error
 1989  1  2  6  0	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    
 1989  1  9  6  0	   0.000000    	  -2.019917    	 -0.2102925    	   0.000000    	   0.000000    	  0.4194280E-02	  -1.260492    	   1.952922    	  -1.372239    	  0.2752747    	   0.000000    	   0.000000    	   2.174167    	   0.000000    	   0.000000    	   0.000000    	  0.4564304    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4793689E-04
 1989  1 16  6  0	   0.000000    	  -5.855593    	 -0.7810899    	  0.2617382E-02	 -0.3042851E-02	  0.1162953E-01	  -2.522891    	   3.913183    	 -0.5410085    	  0.5505493    	   0.000000    	   0.000000    	   4.315347    	   0.000000    	   0.000000    	   0.000000    	  0.9103407    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4266535E-04
 1989  1 23  6  0	   0.000000    	  -6.341150    	 -0.8186814    	  0.2617382E-02	 -0.9160290E-02	  0.2116219E-01	  -3.784455    	   5.872071    	  -3.440571    	  0.8258240    	   0.000000    	   0.000000    	   6.310695    	   0.000000    	   0.000000    	   0.000000    	   1.362433    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.7840185E-03
 1989  1 30  6  0	   0.000000    	  -5.858361    	 -0.8230173    	  0.2617382E-02	 -0.9160290E-02	  0.2257446E-01	  -5.040600    	   7.817312    	  -6.926518    	   1.101099    	   0.000000    	   0.000000    	   7.913353    	   0.000000    	   0.000000    	   0.000000    	   1.801459    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.7574332E-03
 1989  2  6  6  0	   0.000000    	  -5.893174    	  -1.176662    	  0.2617382E-02	 -0.9160290E-02	  0.2257446E-01	  -6.291278    	   9.748693    	  -9.265260    	   1.376373    	   0.000000    	   0.000000    	   9.258821    	   0.000000    	   0.000000    	   0.000000    	   2.227243    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.7893659E-03
 1989  2 13  6  0	   0.000000    	  -6.133052    	  -1.300558    	  0.2617382E-02	 -0.9160290E-02	  0.2257446E-01	  -7.538204    	   11.66996    	  -11.48795    	   1.651648    	   0.000000    	   0.000000    	   10.47804    	   0.000000    	   0.000000    	   0.000000    	   2.644863    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.7814397E-03
 1989  2 20  6  0	   0.000000    	  -9.998158    	  -2.264051    	  0.2617382E-02	 -0.9160290E-02	  0.2257447E-01	  -8.784012    	   13.58749    	  -9.342177    	   1.926923    	   0.000000    	   0.000000    	   11.79834    	   0.000000    	   0.000000    	   0.000000    	   3.060388    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.7797710E-03
 1989  2 27  6  0	   0.000000    	  -16.25671    	  -3.453945    	  0.2617382E-02	 -0.9160290E-02	  0.2753065E-01	  -10.03053    	   15.50493    	  -4.855199    	   2.202197    	   0.000000    	   0.000000    	   13.38511    	   0.000000    	   0.000000    	   0.000000    	   3.483937    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.7739305E-03
 1989  3  6  6  0	   0.000000    	  -20.41384    	  -4.032947    	  0.2617382E-02	 -0.9160290E-02	  0.4290139E-01	  -11.28230    	   17.43398    	  -3.859166    	   2.477472    	   0.000000    	   0.000000    	   15.70391    	   0.000000    	   0.000000    	   0.000000    	   3.937332    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.7995297E-03
 1989  3 13  6  0	   0.000000    	  -20.31031    	  -4.636865    	  0.2617382E-02	 -0.9160290E-02	  0.9708826E-01	  -12.53139    	   19.35208    	  -6.706563    	   2.752747    	   0.000000    	   0.000000    	   17.60782    	   0.000000    	   0.000000    	   0.000000    	   4.382728    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.7860285E-03
 1989  3 20  6  0	   0.000000    	  -28.25646    	  -6.007952    	  0.3714364E-02	 -0.2086837E-01	  0.1464515    	  -13.78393    	   21.27904    	  -1.400075    	   3.028021    	   0.000000    	   0.000000    	   20.18181    	   0.000000    	   0.000000    	   0.000000    	   4.831033    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.7795813E-03
 1989  3 27  6  0	   0.000000    	  -40.78883    	  -8.410908    	  0.7760285E-02	 -0.5449742E-01	  0.1501198    	  -15.04409    	   23.22044    	   8.574204    	   3.303296    	   0.000000    	   0.000000    	   23.74284    	   0.000000    	   0.000000    	   0.000000    	   5.300453    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.7844357E-03
 1989  4  3  6  0	   0.000000    	  -39.75259    	  -8.780125    	  0.7760285E-02	 -0.9756986E-01	  0.1877338    	  -16.30946    	   25.16483    	   2.966429    	   3.578571    	   0.000000    	   0.000000    	   27.24579    	   0.000000    	   0.000000    	   0.000000    	   5.789405    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.7649044E-03
 1989  4 10  6  0	   0.000000    	  -39.28446    	  -9.616389    	  0.1130792E-01	 -0.1243751    	  0.2509471    	  -17.56889    	   27.09209    	 -0.6806493    	   3.853845    	   0.000000    	   0.000000    	   29.81616    	   0.000000    	   0.000000    	   0.000000    	   6.252994    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2577063E-02
 1989  4 17  6  0	   0.000000    	  -38.40207    	  -9.677654    	  0.1130792E-01	 -0.1302580    	  0.5007063    	  -18.82298    	   29.00313    	  -5.130792    	   4.129120    	   0.000000    	   0.000000    	   31.82483    	   0.000000    	   0.000000    	   0.000000    	   6.698827    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4156591E-02
 1989  4 24  6  0	   0.000000    	  -37.98512    	  -10.86822    	  0.1130792E-01	 -0.1302580    	  0.5842131    	  -20.07157    	   30.89994    	  -7.398049    	   4.404395    	   0.000000    	   0.000000    	   33.43217    	   0.000000    	   0.000000    	   0.000000    	   7.125353    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4153785E-02
 1989  5  1  6  0	   0.000000    	  -37.79825    	  -12.41376    	  0.1130792E-01	 -0.1302580    	  0.6911223    	  -21.31717    	   32.78907    	  -8.962051    	   4.679669    	   0.000000    	   0.000000    	   34.90948    	   0.000000    	   0.000000    	   0.000000    	   7.545012    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4161711E-02
 1989  5  8  6  0	   0.000000    	  -37.33839    	  -12.41381    	  0.1130792E-01	 -0.1302580    	   1.054878    	  -22.55849    	   34.66726    	  -12.36604    	   4.954944    	   0.000000    	   0.000000    	   36.17048    	   0.000000    	   0.000000    	   0.000000    	   7.952296    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4172330E-02
 1989  5 15  6  0	   0.000000    	  -36.40903    	  -13.68100    	  0.1130792E-01	 -0.1302580    	   1.232810    	  -23.79517    	   36.53404    	  -14.55218    	   5.230219    	   0.000000    	   0.000000    	   37.22049    	   0.000000    	   0.000000    	   0.000000    	   8.342952    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4180105E-02
 1989  5 22  6  0	   0.000000    	  -36.48674    	  -13.68100    	  0.1130792E-01	 -0.1302580    	   2.352561    	  -25.02810    	   38.38998    	  -17.81683    	   5.505493    	   0.000000    	   0.000000    	   38.16449    	   0.000000    	   0.000000    	   0.000000    	   8.723274    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4169334E-02
