SZ_DETAIL water balance	  - accumulated	 : 	 1989  1  2  6  0	 2022  7 11  6  0 		Data type:	Storage depth		[millimeter]                                                                                
 SM CI OL RIV SZ                                                                		Sub-catchment no.:	 20
Flow Result File : DK1_HIP_500m
Title : DK1_HIP_500m     Text :  
                     	qszprecip	qrech	qrechmp	qolszpos	qolszneg	qetsz	qszin	qszout	dszsto	qszabsex	qszdrin	qszdrout	qszdrtorivin	qszdrtorivex	qszdrtoM11HPoint	qszrivneg	qszrivpos	qszfloodneg	qszfloodpos	qgihbpos	qgihbneg	qirrwell	qszdrtoMouse	qszMousepos	qszMouseneg	qSzExtSink	qSzExtSource	cross time step	Error
 1989  1  2  6  0	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    
 1989  1  9  6  0	   0.000000    	  -2.523567    	 -0.2924820    	  0.3633372E-02	   0.000000    	  0.8192223E-04	 -0.1935450    	  0.2196894    	  0.5598769    	   1.012128    	   0.000000    	   0.000000    	  0.3208724    	   0.000000    	   0.000000    	 -0.2591460E-02	  0.8959040    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.8538252E-06
 1989  1 16  6  0	   0.000000    	  -6.293077    	 -0.8619459    	  0.7433076E-02	   0.000000    	  0.8192267E-04	 -0.3881183    	  0.4388765    	   2.590787    	   2.023083    	   0.000000    	   0.000000    	  0.6965876    	   0.000000    	   0.000000    	 -0.5333828E-02	   1.791672    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4713115E-04
 1989  1 23  6  0	   0.000000    	  -7.265362    	  -1.007171    	  0.1128227E-01	   0.000000    	  0.8192279E-04	 -0.5827732    	  0.6581365    	   1.394450    	   3.035212    	   0.000000    	   0.000000    	   1.093086    	   0.000000    	   0.000000    	 -0.8055106E-02	   2.671219    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1060451E-03
 1989  1 30  6  0	   0.000000    	  -6.833219    	  -1.034241    	  0.1494988E-01	   0.000000    	  0.8193000E-04	 -0.7763812    	  0.8754519    	  -1.055855    	   4.032958    	   0.000000    	   0.000000    	   1.340203    	   0.000000    	   0.000000    	 -0.1072974E-01	   3.446895    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1129611E-03
 1989  2  6  6  0	   0.000000    	  -7.600669    	  -1.495016    	  0.1843448E-01	   0.000000    	  0.8193036E-04	 -0.9689305    	   1.091076    	  -1.710684    	   5.015148    	   0.000000    	   0.000000    	   1.513440    	   0.000000    	   0.000000    	 -0.1339009E-01	   4.150625    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1177425E-03
 1989  2 13  6  0	   0.000000    	  -7.992927    	  -1.634378    	  0.2177421E-01	   0.000000    	  0.8193039E-04	  -1.160791    	   1.306123    	  -3.021954    	   5.993717    	   0.000000    	   0.000000    	   1.683029    	   0.000000    	   0.000000    	 -0.1605460E-01	   4.821516    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1365267E-03
 1989  2 20  6  0	   0.000000    	  -15.14524    	  -2.899273    	  0.2533372E-01	   0.000000    	  0.8193270E-04	  -1.353231    	   1.523204    	   3.165326    	   6.977080    	   0.000000    	   0.000000    	   2.131219    	   0.000000    	   0.000000    	 -0.1876274E-01	   5.594418    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1548839E-03
 1989  2 27  6  0	   0.000000    	  -23.52308    	  -4.315840    	  0.2911516E-01	   0.000000    	  0.8193322E-04	  -1.546307    	   1.742440    	   10.31725    	   7.955649    	   0.000000    	   0.000000    	   2.930340    	   0.000000    	   0.000000    	 -0.2155350E-01	   6.432072    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1619706E-03
 1989  3  6  6  0	   0.000000    	  -29.34411    	  -5.147845    	  0.3345449E-01	   0.000000    	  0.8193387E-04	  -1.741597    	   1.965298    	   13.11761    	   8.937840    	   0.000000    	   0.000000    	   4.706449    	   0.000000    	   0.000000    	 -0.2470569E-01	   7.497686    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1553108E-03
 1989  3 13  6  0	   0.000000    	  -28.93754    	  -5.704237    	  0.3770588E-01	   0.000000    	  0.8194231E-04	  -1.935828    	   2.186583    	   10.14552    	   9.921203    	   0.000000    	   0.000000    	   5.856471    	   0.000000    	   0.000000    	 -0.2766566E-01	   8.457872    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1751196E-03
 1989  3 20  6  0	   0.000000    	  -40.85329    	  -7.570381    	  0.4257876E-01	   0.000000    	  0.7167325E-02	  -2.132087    	   2.410836    	   19.25525    	   10.89977    	   0.000000    	   0.000000    	   8.400908    	   0.000000    	   0.000000    	 -0.3096919E-01	   9.570384    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1683743E-03
 1989  3 27  6  0	   0.000000    	  -56.93391    	  -10.19151    	  0.4978769E-01	 -0.7664730E-02	  0.5796679E-01	  -2.330410    	   2.639346    	   31.63519    	   11.88196    	   0.000000    	   0.000000    	   12.40117    	   0.000000    	   0.000000    	 -0.3459548E-01	   10.83286    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1879269E-03
 1989  4  3  6  0	   0.000000    	  -54.19787    	  -10.63873    	  0.5550049E-01	 -0.9782894E-02	  0.1879485    	  -2.528674    	   2.868806    	   23.62725    	   12.86053    	   0.000000    	   0.000000    	   15.62093    	   0.000000    	   0.000000    	 -0.3826692E-01	   12.19298    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.6334529E-03
 1989  4 10  6  0	   0.000000    	  -53.16369    	  -11.65462    	  0.6082485E-01	 -0.9782894E-02	  0.1964373    	  -2.724916    	   3.095287    	   19.61946    	   13.84389    	   0.000000    	   0.000000    	   17.43102    	   0.000000    	   0.000000    	 -0.4143434E-01	   13.34814    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.6363559E-03
 1989  4 17  6  0	   0.000000    	  -51.52602    	  -11.72528    	  0.6593841E-01	 -0.9782894E-02	  0.2305488    	  -2.919916    	   3.320417    	   14.91956    	   14.82129    	   0.000000    	   0.000000    	   18.48207    	   0.000000    	   0.000000    	 -0.4434969E-01	   14.38618    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.6527493E-03
 1989  4 24  6  0	   0.000000    	  -50.77222    	  -13.17520    	  0.7077572E-01	 -0.9782894E-02	  0.2452096    	  -3.114538    	   3.544270    	   12.96137    	   15.80465    	   0.000000    	   0.000000    	   19.16430    	   0.000000    	   0.000000    	 -0.4710482E-01	   15.32891    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.6478825E-03
 1989  5  1  6  0	   0.000000    	  -50.32641    	  -14.56966    	  0.7535738E-01	 -0.9782894E-02	  0.2825678    	  -3.308020    	   3.767465    	   11.40887    	   16.78322    	   0.000000    	   0.000000    	   19.72454    	   0.000000    	   0.000000    	 -0.4979012E-01	   16.22228    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.6489071E-03
 1989  5  8  6  0	   0.000000    	  -49.02892    	  -14.57051    	  0.8000864E-01	 -0.9782894E-02	  0.7333285    	  -3.500755    	   3.989521    	   7.500147    	   17.76659    	   0.000000    	   0.000000    	   20.04790    	   0.000000    	   0.000000    	 -0.5238178E-01	   17.04551    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.6552254E-03
