WSAID	PLANTID	start	end
1000	116351	1978	2019
1001	119121	1997	2019
1001	119122	1997	2019
1001	119123	1997	2019
1001	119127	1997	2019
1002	118033	1978	2005
1002	118034	1978	2005
1002	118035	1978	2005
1002	118036	1978	2005
1002	118037	1978	2005
1002	118042	1978	2005
1002	118054	1978	2005
1003	118038	1978	2005
1003	118039	1978	2005
1003	118040	1978	2005
1003	118046	1978	2005
1003	118047	1978	2005
1003	118056	1978	2005
1004	119124	1978	2019
1004	119125	1978	2019
1004	119128	1978	2019
1004	119130	1978	2019
1004	119131	1978	2019
1005	116491	1978	2019
1006	116915	1978	2019
1006	116916	1978	2019
1006	116917	1978	2019
1007	116921	1978	2019
1008	116487	1978	2019
1009	63142	2007	2019
1009	63192	2007	2019
1009	63198	2007	2019
1009	63199	2007	2019
1009	63212	2007	2019
1009	63362	2007	2019
1009	63364	2007	2019
1009	63367	2007	2019
1009	63379	2007	2019
1009	63417	2007	2019
1009	63419	2007	2019
1010	64417	1978	2019
1011	64402	2005	2019
1011	64418	2005	2019
1012	64403	1978	1991
1013	64433	1978	1991
1014	79340	1978	1986
1014	79361	1978	1986
1014	79363	1978	1986
1014	79377	1978	1986
1015	82014	1978	2019
1016	82003	2011	2019
1016	82005	2011	2019
1016	82008	2011	2019
1016	82009	2011	2019
1016	82010	2011	2019
1016	82011	2011	2019
1016	82014	2011	2019
1016	82015	2011	2019
1016	82020	2011	2019
1016	82031	2011	2019
1016	82036	2011	2019
1016	82040	2011	2019
1016	82041	2011	2019
1017	82001	1978	2019
1018	82333	1978	2006
1019	82000	2002	2019
1019	82002	2002	2019
1019	82003	2002	2019
1019	82004	2002	2019
1019	82007	2002	2019
1019	82013	2002	2019
1019	82014	2002	2019
1019	82017	2002	2019
1019	82019	2002	2019
1019	82034	2002	2019
1019	82637	2002	2019
1020	53099	1978	2019
1021	53098	1978	2019
1022	53087	2005	2019
1022	53088	2005	2019
1023	53081	1996	1999
1023	53082	1996	1999
1023	53083	1996	1999
1023	53085	1996	1999
1023	53097	1996	1999
1023	53100	1996	1999
1024	53086	1978	2019
1025	53091	1978	2019
1026	50815	1999	2019
1026	50817	1999	2019
1027	53092	1978	2019
1028	50182	1978	2019
1029	50183	1978	2019
1030	50180	1978	2019
1030	50186	1978	2019
1031	50804	2010	2019
1031	50805	2010	2019
1031	50806	2010	2019
1031	50807	2010	2019
1031	50808	2010	2019
1031	50809	2010	2019
1031	50810	2010	2019
1031	50811	2010	2019
1031	50812	2010	2019
1031	50813	2010	2019
1031	50814	2010	2019
1031	182403	2010	2019
1032	50184	1978	2019
1033	52112	1978	2019
1034	53090	1978	2019
1035	53101	1978	2019
1036	53096	1978	2019
1037	50176	1978	2019
1037	50177	1978	2019
1037	50178	1978	2019
1037	50179	1978	2019
1038	78059	2007	2019
1038	79983	2007	2019
1038	79984	2007	2019
1038	79985	2007	2019
1038	79986	2007	2019
1038	79987	2007	2019
1038	79988	2007	2019
1038	79989	2007	2019
1038	79990	2007	2019
1038	79991	2007	2019
1038	79992	2007	2019
1038	80001	2007	2019
1038	80003	2007	2019
1038	80004	2007	2019
1038	80007	2007	2019
1038	80008	2007	2019
1038	80016	2007	2019
1038	80017	2007	2019
1038	80020	2007	2019
1038	80021	2007	2019
1038	80023	2007	2019
1038	80024	2007	2019
1038	80025	2007	2019
1038	80027	2007	2019
1038	80029	2007	2019
1038	80875	2007	2019
1039	105001	1994	2019
1039	105002	1994	2019
1039	105007	1994	2019
1039	105008	1994	2019
1039	105009	1994	2019
1039	105012	1994	2019
1039	105015	1994	2019
1040	105010	1978	2019
1041	105006	1978	2019
1042	105011	1978	2019
1043	105013	1978	2019
1044	104999	2009	2019
1044	105000	2009	2019
1044	105003	2009	2019
1045	105004	1978	2019
1046	103643	1978	2005
1046	103644	1978	2005
1046	103645	1978	2005
1046	103646	1978	2005
1046	103647	1978	2005
1046	103649	1978	2005
1046	103650	1978	2005
1046	103651	1978	2005
1046	103652	1978	2005
1046	103653	1978	2005
1046	103654	1978	2005
1046	103673	1978	2005
1046	119831	1978	2005
1046	119832	1978	2005
1046	119833	1978	2005
1047	103660	1978	2019
1048	103655	1978	2019
1049	103656	1978	2019
1049	103657	1978	2019
1050	103658	1978	2019
1051	103648	1978	2019
1051	103661	1978	2019
1052	103662	1978	2019
1053	103666	1978	2019
1054	103667	1978	2019
1055	103671	1978	2019
1056	103668	1978	2019
1057	103669	1978	2019
1058	103663	1978	2019
1058	103664	1978	2019
1059	103665	1978	2005
1060	103659	1978	2019
1061	103319	2017	2019
1061	103320	2017	2019
1061	103321	2017	2019
1061	103322	2017	2019
1061	103324	2017	2019
1061	103325	2017	2019
1061	103327	2017	2019
1062	83339	1995	2019
1062	83340	1995	2019
1062	83341	1995	2019
1062	83342	1995	2019
1062	83343	1995	2019
1062	83344	1995	2019
1062	83345	1995	2019
1062	83370	1995	2019
1062	83372	1995	2019
1062	83374	1995	2019
1062	188992	1995	2019
1063	83371	1978	2019
1064	83346	1978	2019
1065	83363	1978	2019
1066	81130	2007	2019
1066	81131	2007	2019
1066	81132	2007	2019
1066	82540	2007	2019
1066	82543	2007	2019
1066	82545	2007	2019
1066	82546	2007	2019
1066	82547	2007	2019
1066	82548	2007	2019
1066	82549	2007	2019
1066	82562	2007	2019
1066	82563	2007	2019
1066	156746	2007	2019
1066	156748	2007	2019
1067	82558	2005	2019
1067	82561	2005	2019
1067	156763	2005	2019
1068	82551	1978	1996
1068	82552	1978	1996
1069	82550	1978	2019
1070	82554	1978	2019
1071	82559	1978	2019
1072	81133	1978	2019
1073	81137	1978	2019
1073	81138	1978	2019
1074	81134	1978	2019
1075	81135	1978	2019
1076	82556	1978	2019
1077	82560	1978	2019
1078	81396	1978	2019
1079	81386	2006	2019
1079	81387	2006	2019
1079	81388	2006	2019
1079	156751	2006	2019
1080	81390	2003	2019
1080	81393	2003	2019
1080	156735	2003	2019
1081	81389	1978	2019
1082	81395	1978	2019
1083	81391	2000	2019
1083	81394	2000	2019
1083	156755	2000	2019
1084	81385	1990	2019
1084	81392	1990	2019
1084	81397	1990	2019
