bebyggelse,indbygge_1,indbygge_2,indbygge_3,indbygge_4,indbygge_5,start,end,WSAID
,,,,,,"1978","2002","2106"
,,,,,,"1978","2019","2117"
,,,,,,"1978","2019","2828"
,,,,,,"1978","2019","3382"
,,,,,,"1978","2019","2156"
,,,,,,"1978","2019","2847"
,,,,,,"1978","2019","2127"
,,,,,,"1978","2019","3382"
,,,,,,"1978","2019","2118"
,,,,,,"2017","2019","3392"
,,,,,,"1978","2019","2100"
,,,,,,"1978","2019","2041"
,,,,,,"1978","2019","2043"
,,,,,,"1978","2019","2062"
,,,,,,"2008","2019","3384"
,,,,,,"1978","2019","2062"
,,,,,,"1978","2019","2045"
,,,,,,"1978","2019","2041"
,,,,,,"1978","2019","2050"
,,,,,,"1978","2019","2883"
,,,,,,"2013","2019","3157"
,,,,,,"2011","2019","2006"
,,,,,,"1978","2019","3394"
,,,,,,"1978","2019","2101"
,,,,,,"1978","2019","3563"
,,,,,,"1978","2019","4237"
,,,,,,"1978","2019","1045"
,,,,,,"1995","2019","2860"
,,,,,,"1978","2005","1046"
,,,,,,"1978","2019","2032"
,,,,,,"1978","2019","2030"
,,,,,,"1978","2019","2032"
,,,,,,"1978","2019","3177"
,,,,,,"1978","2019","2219"
,,,,,,"1978","2019","2231"
,,,,,,"1986","2019","3162"
,,,,,,"2008","2019","3154"
,,,,,,"2011","2019","1936"
,,,,,,"1978","2019","1934"
,,,,,,"2002","2019","2927"
,,,,,,"1978","2019","2678"
,,,,,,"1978","2019","3135"
,,,,,,"1978","2006","3156"
,,,,,,"2003","2019","2836"
,,,,,,"1978","2019","3146"
,,,,,,"1978","2019","2846"
,,,,,,"1978","2019","2030"
,,,,,,"1978","2019","3347"
,,,,,,"1978","2012","3357"
,,,,,,"1978","2019","2235"
,,,,,,"1978","2019","3177"
,,,,,,"1978","2019","2231"
,,,,,,,,
,,,,,,"1978","2019","2234"
,,,,,,"2015","2016","4659"
,,,,,,"1978","2019","2088"
,,,,,,"1978","2016","3359"
,,,,,,"1978","2019","3564"
,,,,,,"1978","2019","3333"
,,,,,,"1978","2016","3359"
,,,,,,"1978","2019","3559"
,,,,,,"1978","2019","3334"
,,,,,,"1978","2019","2216"
,,,,,,"1978","2019","3355"
,,,,,,"1978","2019","3563"
,,,,,,"2009","2019","1969"
,,,,,,"1978","2019","3542"
70602,12337669-d8cc-6b98-e053-d480220a5a3f,Strandlodshuse,01-01-2024,"123","72","1978","2019","2952"
,,,,,,"1978","2019","3362"
,,,,,,"2010","2019","2869"
,,,,,,"1978","2008","3568"
,,,,,,"1995","2019","2860"
,,,,,,"1978","2019","3560"
,,,,,,"1978","2016","3359"
14846,12337669-d8de-6b98-e053-d480220a5a3f,Gerdrup,01-01-2024,"6","2","1978","2019","2904"
,,,,,,"1978","2019","2038"
,,,,,,"1978","2019","4686"
,,,,,,"2009","2019","1969"
,,,,,,"1978","2019","3334"
,,,,,,"1978","2019","3332"
12974,12337669-dc3f-6b98-e053-d480220a5a3f,Langesø,01-01-2024,"348","197","1978","2019","1063"
10047,12337669-dac0-6b98-e053-d480220a5a3f,Ejby,01-01-2024,"3130","1312","1978","2019","2032"
16841,12337669-d936-6b98-e053-d480220a5a3f,Lille Vetterslev,01-01-2024,"11","4","1978","2019","1058"
13650,12337669-dbcc-6b98-e053-d480220a5a3f,Store Karleby,01-01-2024,"67","30","1996","2019","2667"
,,,,,,"1978","2019","3563"
,,,,,,"2009","2019","2850"
,,,,,,"1978","2019","4686"
,,,,,,"1978","2019","3333"
,,,,,,"1978","2019","2219"
,,,,,,"1978","2019","3334"
,,,,,,"1978","2019","3563"
,,,,,,"1978","2019","3563"
,,,,,,"1978","2019","4690"
,,,,,,"1978","2019","3559"
,,,,,,"1978","2019","2062"
,,,,,,"2010","2019","2930"
,,,,,,"1978","2019","3330"
,,,,,,"1978","2019","2219"
,,,,,,"1978","2019","2219"
,,,,,,"1978","2005","1046"
,,,,,,"1978","2019","3331"
,,,,,,"1978","2019","3563"
,,,,,,"1978","2019","3563"
,,,,,,"1978","2019","3333"
,,,,,,"1978","2019","4690"
,,,,,,"1978","2019","2882"
,,,,,,"2017","2019","4662"
,,,,,,"1978","2019","3563"
,,,,,,"1978","2019","2132"
,,,,,,"1978","2019","2026"
,,,,,,"2010","2019","2930"
,,,,,,"2010","2019","2035"
,,,,,,"1978","2019","3569"
,,,,,,"1978","2005","1046"
,,,,,,"1978","2019","3563"
,,,,,,"1978","2019","3563"
,,,,,,"1978","2019","3563"
,,,,,,"1978","2019","3362"
15415,12337669-db2c-6b98-e053-d480220a5a3f,Aggerup,01-01-2024,"5","2","1978","2019","2678"
16906,12337669-d12b-6b98-e053-d480220a5a3f,Kyse,01-01-2024,"67","27","1978","2019","2882"
16790,12337669-dada-6b98-e053-d480220a5a3f,Ejlstrup Huse,01-01-2024,"10","3","1978","2005","1046"
12362,12337669-dda4-6b98-e053-d480220a5a3f,Høveltsvang,01-01-2024,"17","7","1978","2019","3427"
15830,12337669-d2b2-6b98-e053-d480220a5a3f,Mørkemose,01-01-2024,"4","2","2009","2019","2850"
11331,12337669-d8a6-6b98-e053-d480220a5a3f,Kongsted-Borup,01-01-2024,"72","29","1985","2019","2937"
16054,12337669-d3d2-6b98-e053-d480220a5a3f,Hejninge,01-01-2024,"60","25","1997","2019","2063"
16706,12337669-dac4-6b98-e053-d480220a5a3f,Store Salby,01-01-2024,"82","28","1978","2019","2024"
16832,12337669-d927-6b98-e053-d480220a5a3f,Maderne,01-01-2024,"8","3","1992","2019","2894"
16664,12337669-db97-6b98-e053-d480220a5a3f,Kornerup,01-01-2024,"115","43","1978","2019","2703"
13664,12337669-da46-6b98-e053-d480220a5a3f,Lavringemose,01-01-2024,"20","6","2006","2019","2701"
10303,12337669-dd38-6b98-e053-d480220a5a3f,Hørsholm,01-01-2024,"23173","10836","1978","2000","2239"
16280,12337669-d6ef-6b98-e053-d480220a5a3f,Skørpinge,01-01-2024,"59","31","1978","2019","2014"
10948,12337669-d94a-6b98-e053-d480220a5a3f,Herlufmagle,01-01-2024,"1506","651","1978","2019","2902"
18811,12337669-e366-6b98-e053-d480220a5a3f,Slettebjerg,01-01-2024,"14","4","1978","2019","1049"
18771,12337669-d9a9-6b98-e053-d480220a5a3f,Teglhuse,01-01-2024,"21","6",,,
11842,12337669-d27c-6b98-e053-d480220a5a3f,Holløse,01-01-2024,"11","6","2009","2019","2850"
,,,,,,"1978","2019","3564"
13924,12337669-d7bf-6b98-e053-d480220a5a3f,Ornebjerg,01-01-2024,"65","20","2009","2019","1969"
11726,12337669-d2d1-6b98-e053-d480220a5a3f,Stokkebjerg,01-01-2024,"53","23","1978","2019","2814"
18787,12337669-e343-6b98-e053-d480220a5a3f,Stubbekrogen,01-01-2024,"7","3","1978","2019","2012"
10261,12337669-d514-6b98-e053-d480220a5a3f,Strandhuse,01-01-2024,"226","100","1978","2019","2138"
11329,12337669-d8a4-6b98-e053-d480220a5a3f,Flintemose,01-01-2024,"17","8","1978","2019","2916"
16866,12337669-d407-6b98-e053-d480220a5a3f,Orevad,01-01-2024,"6","4","1978","2019","2118"
10638,12337669-d193-6b98-e053-d480220a5a3f,Rude,01-01-2024,"289","120","1978","2019","2056"
16493,12337669-d439-6b98-e053-d480220a5a3f,Sobjerg,01-01-2024,"17","7","2011","2019","3387"
10852,12337669-dbce-6b98-e053-d480220a5a3f,Lyndby,01-01-2024,"597","255","1978","2019","2665"
16849,12337669-d940-6b98-e053-d480220a5a3f,Levetofte,01-01-2024,"51","22","2017","2019","1061"
16814,12337669-d533-6b98-e053-d480220a5a3f,Frostrup,01-01-2024,"9","2","1978","2019","2145"
11828,12337669-d0ea-6b98-e053-d480220a5a3f,Ravnebjerg,01-01-2024,"15","7","1978","2019","2871"
12463,12337669-d782-6b98-e053-d480220a5a3f,Sjolte,01-01-2024,"31","14","2004","2019","2921"
,,,,,,"1978","2019","2241"
18785,12337669-e340-6b98-e053-d480220a5a3f,Harvig,01-01-2024,"8","4","1994","2019","2004"
16527,12337669-dad3-6b98-e053-d480220a5a3f,Nordrup Tørvemose,01-01-2024,"5","2","1978","2005","1046"
