dgunr,anl_jupid,xcor,ycor,depth,level,top,bottom,magasinid,gvforekom,virk,kommunenr,indtag,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,VirkType,AnlaegID,IndtagNr,AnlgTillad,fid,Catch_ID
206.   32A,104785_171436_1,693923.43740000005,6169937.82000000030,91.00000000000,43.95000000000,-47.16650000000,-97.16650000000,dkms_kalk_3682,dkms_3626_kalk,V81,"265","3",12441.33333330000,0.00000000000,11567.66666670000,23772.33333330000,7476.33333333000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,Andet,"104785","1",0.00000000000,"2994","1"
206.   32B,104785_171437_1,693969.43700000003,6170005.81989999954,109.80000000000,42.12000000000,-65.68000000000,-67.68000000000,dkms_kalk_3682,dkms_3626_kalk,V81,"265","3",12441.33333330000,0.00000000000,11567.66666670000,23772.33333330000,7476.33333333000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,Andet,"104785","1",0.00000000000,"2994","1"
206.  790,104785_172334_1,693769.43759999995,6170021.81950000022,120.00000000000,42.50000000000,-32.50000000000,-77.50000000000,dkms_kalk_3682,dkms_3626_kalk,V81,"265","3",12441.33333330000,0.00000000000,11567.66666670000,23772.33333330000,7476.33333333000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,Andet,"104785","1",0.00000000000,"2994","1"
199.  996,104805_159419_1,695651.51000000001,6175561.58999999985,50.00000000000,16.76000000000,-18.73000000000,-68.73000000000,dkms_kalk_3657,dkms_3601_kalk,V51,"265","1",0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,8344.00000000000,10400.00000000000,5600.00000000000,2500.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,21600.00000000000,19400.00000000000,17600.00000000000,18000.00000000000,18000.00000000000,16400.00000000000,17500.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,9500.00000000000,12100.00000000000,0.00000000000,0.00000000000,14300.00000000000,Andet,"104805","1",28000.00000000000,"2994","1"
199.  212,104818_158635_1,693779.42599999998,6174042.80769999977,38.00000000000,7.50000000000,-36.40850000000,-86.40850000000,dkms_kalk_3657,dkms_3601_kalk,V01,"265","2",24717.00000000000,34773.66666670001,29470.00000000000,30749.00000000000,31709.33333330000,25185.00000000000,34576.66666670001,30083.66666670000,18217.33333330000,12837.33333330000,15817.33333330000,16294.66666670000,17002.00000000000,17892.66666670000,19523.00000000000,15604.66666670000,3285.00000000000,139.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,AlmVf,"104818","1",0.00000000000,"2994","1"
199.  386,104818_158809_1,693387.62000000000,6174679.42999999970,56.00000000000,18.50000000000,-38.09120000000,-88.09120000000,dkms_kalk_3657,dkms_3601_kalk,V01,"265","2",24717.00000000000,34773.66666670001,29470.00000000000,30749.00000000000,31709.33333330000,25185.00000000000,34576.66666670001,30083.66666670000,18217.33333330000,12837.33333330000,15817.33333330000,16294.66666670000,17002.00000000000,17892.66666670000,19523.00000000000,15604.66666670000,3285.00000000000,139.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,AlmVf,"104818","1",0.00000000000,"2994","1"
206.  298,104836_171800_1,695371.43090000004,6170638.82039999962,22.00000000000,50.00000000000,31.50000000000,29.50000000000,dkms_ks2_3697,dkms_3641_ks,V02,"265","7",20700.14285710000,16142.00000000000,15329.71428570000,15104.71428570000,11771.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,AlmVf,"104836","1",0.00000000000,"2994","1"
206.  580,104836_172122_1,695387.42960000003,6171062.81909999996,31.00000000000,41.43000000000,23.43000000000,11.43000000000,dkms_ks2_3697,dkms_3641_ks,V02,"265","7",20700.14285710000,16142.00000000000,15329.71428570000,15104.71428570000,11771.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,AlmVf,"104836","1",0.00000000000,"2994","1"
206.  830,104836_172374_1,695350.43079999997,6170684.82019999996,31.00000000000,50.00000000000,42.65640000000,23.32470000000,dkms_ks2_3697,dkms_3641_ks,V02,"265","7",20700.14285710000,16142.00000000000,15329.71428570000,15104.71428570000,11771.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,AlmVf,"104836","1",0.00000000000,"2994","1"
206. 1062,104836_172607_1,694791.43469999998,6169916.82160000037,110.00000000000,50.00000000000,-22.10000000000,-60.00000000000,dkms_kalk_3682,dkms_3626_kalk,V02,"265","7",20700.14285710000,16142.00000000000,15329.71428570000,15104.71428570000,11771.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,AlmVf,"104836","1",0.00000000000,"2994","1"
206. 1069,104836_172614_1,695378.42960000003,6171063.81909999996,93.00000000000,41.43000000000,-16.07000000000,-51.57000000000,dkms_kalk_3682,dkms_3626_kalk,V02,"265","7",20700.14285710000,16142.00000000000,15329.71428570000,15104.71428570000,11771.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,AlmVf,"104836","1",0.00000000000,"2994","1"
